process,temp,supply,control,corner name,bgr_tran_02_sat_check,bgr_tran_13_sat_check,bgr_tran_14_sat_check,bgr_tran_15_sat_check,bgr_tran_16_sat_check,bgr_tran_17_sat_check,bgr_tran_18_sat_check,bgr_tran_19_sat_check,bgr_tran_20_sat_check,bgr_tran_21_sat_check,bgr_tran_22_sat_check,bgr_tran_23_sat_check,bgr_tran_24_sat_check,gmn (mS),gmp (mS),i2 (uA),i13 (uA),i14 (uA),i15 (uA),i16 (uA),i17 (uA),i18 (uA),i19 (uA),i22 (uA),i23 (uA),i24 (uA),I_left (mA),I_right (mA),I_tail (mA),nmos_sat_check,pmos_sat_check,tail_sat_check,Power (mW),vn,vp,differential swing,Oscillation Status,freq (GHZ)
tt,27,1,0.0,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,2.972952,True,2.209689
tt,27,1,0.1,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,2.95217,True,2.23948
tt,27,1,0.2,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,2.940122,True,2.272272
tt,27,1,0.3,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,2.93249,True,2.308088
tt,27,1,0.4,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,2.947032,True,2.341149
tt,27,1,0.5,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,2.989124,True,2.370908
tt,27,1,0.6,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,3.053744,True,2.396992
tt,27,1,0.7,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,3.128442,True,2.422916
tt,27,1,0.8,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,3.200772,True,2.450165
tt,27,1,0.9,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,3.264758,True,2.478869
tt,27,1,1.0,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,3.318868,True,2.507832
tt,27,1,1.1,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,3.362316,True,2.533631
tt,27,1,1.2,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,3.394946,True,2.55324
tt,27,1,1.3,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,3.417112,True,2.565758
tt,27,1,1.4,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,3.429724,True,2.572027
tt,27,1,1.5,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,3.43557,True,2.574698
tt,27,1,1.6,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,3.437906,True,2.575965
tt,27,1,1.7,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,3.438778,True,2.575882
tt,27,1,1.8,"tt,27,1",True,True,True,True,True,True,True,True,True,True,True,True,True,1.717200e+01,1.175884e+01,8.909404e+01,8.751688e+00,8.709784e+00,2.816968e+00,4.552549e+01,1.509952e+00,1.307016e+00,4.552549e+01,6.431815e-03,6.430053e-03,4.368483e-10,1.113575e+00,1.113575e+00,2.227149e+00,True,True,True,5.2164,7.751884e-01,7.751884e-01,3.43913,True,2.576281
